,date,time,latitude,longitude,type,depth,depth_error,depth_seismic_stations,magnitude,magnitude_type,magnitude_error,magnitude_seismic_stations,azimuthal_gap,horizontal_distance,horizontal_error,root_mean_square,id,source,location_source,magnitude_source,status,geocode_data,city,country,latlng,year
10,1/6/2008,5:14:20,37.216,22.693,Earthquake,75.0,,640.0,6.2,MWB,,,23.8,,,1.22,USP000FW2W,US,US,US,Reviewed,"{'address_components': [{'long_name': 'Unnamed Road', 'short_name': 'Unnamed Road', 'types': ['route']}, {'long_name': 'Leonidio', 'short_name': 'Leonidio', 'types': ['administrative_area_level_5', 'political']}, {'long_name': 'South Kynouria', 'short_name': 'South Kynouria', 'types': ['administrative_area_level_4', 'political']}, {'long_name': 'Arkadia', 'short_name': 'Arkadia', 'types': ['administrative_area_level_3', 'political']}, {'long_name': 'Greece', 'short_name': 'GR', 'types': ['country', 'political']}, {'long_name': '223 00', 'short_name': '223 00', 'types': ['postal_code']}], 'formatted_address': 'Unnamed Road, Notia Kinouria 223 00, Greece', 'geometry': {'bounds': {'northeast': {'lat': 37.2083889, 'lng': 22.6971295}, 'southwest': {'lat': 37.1908903, 'lng': 22.6728239}}, 'location': {'lat': 37.1969576, 'lng': 22.6834191}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 37.2083889, 'lng': 22.6971295}, 'southwest': {'lat': 37.1908903, 'lng': 22.6728239}}}, 'place_id': 'ChIJR6_MJeLWnxQRokmZg9eRmdM', 'types': ['route']}",,Greece,"37.216,22.693",2008
11,1/7/2008,3:12:27,-0.795,134.012,Earthquake,12.0,,253.0,5.9,MWC,,,36.5,,,0.93,USP000FW5B,US,US,GCMT,Reviewed,"{'address_components': [{'long_name': 'Unnamed Road', 'short_name': 'Unnamed Road', 'types': ['route']}, {'long_name': 'Pami', 'short_name': 'Pami', 'types': ['administrative_area_level_4', 'political']}, {'long_name': 'Manokwari Utara', 'short_name': 'Manokwari Utara', 'types': ['administrative_area_level_3', 'political']}, {'long_name': 'Kabupaten Manokwari', 'short_name': 'Kabupaten Manokwari', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Papua Barat', 'short_name': 'Papua Bar.', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Indonesia', 'short_name': 'ID', 'types': ['country', 'political']}, {'long_name': '98315', 'short_name': '98315', 'types': ['postal_code']}], 'formatted_address': 'Unnamed Road, Pami, Manokwari Utara, Kabupaten Manokwari, Papua Bar. 98315, Indonesia', 'geometry': {'bounds': {'northeast': {'lat': -0.7944627, 'lng': 134.027167}, 'southwest': {'lat': -0.7970655999999999, 'lng': 134.0156874}}, 'location': {'lat': -0.7969535, 'lng': 134.0223165}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': -0.7944151697084979, 'lng': 134.027167}, 'southwest': {'lat': -0.797113130291502, 'lng': 134.0156874}}}, 'place_id': 'ChIJOwyx2CcMVC0RvH1G9BJe9AU', 'types': ['route']}",Kabupaten Manokwari,Indonesia,"-0.795,134.012",2008
12,1/7/2008,7:46:30,12.263,125.376,Earthquake,55.8,,149.0,5.6,MWC,,,53.7,,,0.85,USP000FW5W,US,US,GCMT,Reviewed,"{'address_components': [{'long_name': 'Jct Taft - Oras - Sn Policarpo - Arteche Road', 'short_name': 'Jct Taft - Oras - Sn Policarpo - Arteche Rd', 'types': ['route']}, {'long_name': 'Arteche', 'short_name': 'Arteche', 'types': ['locality', 'political']}, {'long_name': 'Eastern Samar', 'short_name': 'Eastern Samar', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Eastern Visayas', 'short_name': 'Eastern Visayas', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Jct Taft - Oras - Sn Policarpo - Arteche Rd, Arteche, Eastern Samar, Philippines', 'geometry': {'bounds': {'northeast': {'lat': 12.2659034, 'lng': 125.3798214}, 'southwest': {'lat': 12.2630845, 'lng': 125.3760977}}, 'location': {'lat': 12.2639893, 'lng': 125.3783571}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 12.2659034, 'lng': 125.3798214}, 'southwest': {'lat': 12.2630845, 'lng': 125.3760977}}}, 'place_id': 'ChIJQ3xm6lp7CTMRUxi6LaLClEA', 'types': ['route']}",Arteche,Philippines,"12.263,125.376",2008
13,1/7/2008,8:14:20,51.198,-179.6,Earthquake,35.0,,369.0,5.6,MWC,,,69.0,,,0.87,USP000FW5X,US,US,GCMT,Reviewed,"{'address_components': [{'long_name': 'United States', 'short_name': 'US', 'types': ['country', 'political']}], 'formatted_address': 'United States', 'geometry': {'bounds': {'northeast': {'lat': 71.5388001, 'lng': -66.885417}, 'southwest': {'lat': 18.7763, 'lng': 170.5957}}, 'location': {'lat': 37.09024, 'lng': -95.712891}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 49.38, 'lng': -66.94}, 'southwest': {'lat': 25.82, 'lng': -124.39}}}, 'place_id': 'ChIJCzYy5IS16lQRQrfeQ5K5Oxw', 'types': ['country', 'political']}",,United States,"51.198,-179.6",2008
14,1/8/2008,19:23:32,-3.9130000000000003,131.368,Earthquake,1.6,17.8,132.0,5.8,MWC,,,43.6,,,1.24,USP000FW98,US,US,GCMT,Reviewed,"{'address_components': [{'long_name': 'Indonesia', 'short_name': 'ID', 'types': ['country', 'political']}], 'formatted_address': 'Indonesia', 'geometry': {'bounds': {'northeast': {'lat': 6.216999899999999, 'lng': 141.0425}, 'southwest': {'lat': -11.1082999, 'lng': 94.7351}}, 'location': {'lat': -0.789275, 'lng': 113.921327}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 6.216999899999999, 'lng': 141.0425}, 'southwest': {'lat': -11.1082999, 'lng': 94.7351}}}, 'place_id': 'ChIJtwRkSdcHTCwRhfStG-dNe-M', 'types': ['country', 'political']}",,Indonesia,"-3.913,131.368",2008
15,1/9/2008,8:26:45,32.288000000000004,85.166,Earthquake,10.0,,485.0,6.4,MWC,,,13.9,,,0.89,USP000FWAJ,US,US,US,Reviewed,"{'address_components': [{'long_name': 'Unnamed Road', 'short_name': 'Unnamed Road', 'types': ['route']}, {'long_name': 'Nima Xian', 'short_name': 'Nima Xian', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Naqu Diqu', 'short_name': 'Naqu Diqu', 'types': ['locality', 'political']}, {'long_name': 'Xizang Zizhiqu', 'short_name': 'Xizang Zizhiqu', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'China', 'short_name': 'CN', 'types': ['country', 'political']}], 'formatted_address': 'Unnamed Road, Nima Xian, Naqu Diqu, Xizang Zizhiqu, China', 'geometry': {'bounds': {'northeast': {'lat': 32.5727417, 'lng': 85.18556910000001}, 'southwest': {'lat': 32.1933238, 'lng': 84.9925334}}, 'location': {'lat': 32.3476564, 'lng': 85.1840928}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 32.5727417, 'lng': 85.18556910000001}, 'southwest': {'lat': 32.1933238, 'lng': 84.9925334}}}, 'place_id': 'ChIJxS36WsbRyTkR9tngYg8gnSA', 'types': ['route']}",Naqu Diqu,China,"32.288,85.166",2008
16,1/9/2008,14:40:01,51.648999999999994,-131.183,Earthquake,10.0,0.0,333.0,6.1,MWC,,,78.3,,,1.01,USP000FWB9,US,US,US,Reviewed,"{'address_components': [{'long_name': 'Skeena-Queen Charlotte E', 'short_name': 'Skeena-Queen Charlotte E', 'types': ['administrative_area_level_3', 'political']}, {'long_name': 'Skeena-Queen Charlotte', 'short_name': 'Skeena-Queen Charlotte', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'British Columbia', 'short_name': 'BC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Canada', 'short_name': 'CA', 'types': ['country', 'political']}], 'formatted_address': 'Skeena-Queen Charlotte E, BC, Canada', 'geometry': {'bounds': {'northeast': {'lat': 53.485952, 'lng': -129.7681068}, 'southwest': {'lat': 50.999998, 'lng': -134.0000001}}, 'location': {'lat': 52.2425819, 'lng': -132.3426361}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 53.485952, 'lng': -129.7681068}, 'southwest': {'lat': 50.999998, 'lng': -134.0000001}}}, 'place_id': 'ChIJ5yWWegzwa1QR-elmrDxYYy4', 'types': ['administrative_area_level_3', 'political']}",Skeena-Queen Charlotte,Canada,"51.649,-131.183",2008
17,1/10/2008,1:37:19,43.785,-127.264,Earthquake,13.0,,232.0,6.3,MWC,,,39.7,,,1.38,USP000FWCM,US,US,US,Reviewed,{},,,"43.785,-127.264",2008
18,1/13/2008,12:15:36,17.048,120.98899999999999,Earthquake,10.0,,170.0,5.7,MWC,,,51.7,,,1.09,USP000FWMM,US,US,GCMT,Reviewed,"{'address_components': [{'long_name': 'Nueva Vizcaya - Ifugao - Mountain Province Road', 'short_name': 'Nueva Vizcaya - Ifugao - Mountain Province Rd', 'types': ['route']}, {'long_name': 'Bontoc', 'short_name': 'Bontoc', 'types': ['locality', 'political']}, {'long_name': 'Mountain Province', 'short_name': 'Mountain Province', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Cordillera Administrative Region', 'short_name': 'CAR', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Nueva Vizcaya - Ifugao - Mountain Province Rd, Bontoc, Mountain Province, Philippines', 'geometry': {'bounds': {'northeast': {'lat': 17.0812817, 'lng': 121.0026733}, 'southwest': {'lat': 17.0534867, 'lng': 120.9825879}}, 'location': {'lat': 17.0614995, 'lng': 120.9897194}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 17.0812817, 'lng': 121.0026733}, 'southwest': {'lat': 17.0534867, 'lng': 120.9825879}}}, 'place_id': 'ChIJ03UDYXzRjzMRLo1P1KJTlUw', 'types': ['route']}",Bontoc,Philippines,"17.048,120.989",2008
19,1/14/2008,13:38:36,10.413,92.869,Earthquake,34.0,,373.0,5.9,MWC,,,37.9,,,0.8,USP000FWQA,US,US,US,Reviewed,"{'address_components': [{'long_name': 'India', 'short_name': 'IN', 'types': ['country', 'political']}], 'formatted_address': 'India', 'geometry': {'bounds': {'northeast': {'lat': 35.5087008, 'lng': 97.39535869999999}, 'southwest': {'lat': 6.4626999, 'lng': 68.1097}}, 'location': {'lat': 20.593684, 'lng': 78.96288}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 35.5087008, 'lng': 97.39535869999999}, 'southwest': {'lat': 6.4626999, 'lng': 68.1097}}}, 'place_id': 'ChIJkbeSa_BfYzARphNChaFPjNc', 'types': ['country', 'political']}",,India,"10.413,92.869",2008
20,1/15/2008,17:52:16,-21.984,-179.535,Earthquake,597.6,,484.0,6.5,MWC,,,16.1,,,1.05,USP000FWSH,US,US,US,Reviewed,{},,,"-21.984,-179.535",2008
21,1/16/2008,11:54:44,32.330999999999996,85.15799999999999,Earthquake,9.0,,389.0,5.9,MWC,,,25.3,,,0.89,USP000FWU1,US,US,GCMT,Reviewed,"{'address_components': [{'long_name': 'Unnamed Road', 'short_name': 'Unnamed Road', 'types': ['route']}, {'long_name': 'Nima Xian', 'short_name': 'Nima Xian', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Naqu Diqu', 'short_name': 'Naqu Diqu', 'types': ['locality', 'political']}, {'long_name': 'Xizang Zizhiqu', 'short_name': 'Xizang Zizhiqu', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'China', 'short_name': 'CN', 'types': ['country', 'political']}], 'formatted_address': 'Unnamed Road, Nima Xian, Naqu Diqu, Xizang Zizhiqu, China', 'geometry': {'bounds': {'northeast': {'lat': 32.5727417, 'lng': 85.18556910000001}, 'southwest': {'lat': 32.1933238, 'lng': 84.9925334}}, 'location': {'lat': 32.3476564, 'lng': 85.1840928}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 32.5727417, 'lng': 85.18556910000001}, 'southwest': {'lat': 32.1933238, 'lng': 84.9925334}}}, 'place_id': 'ChIJxS36WsbRyTkR9tngYg8gnSA', 'types': ['route']}",Naqu Diqu,China,"32.331,85.158",2008
22,1/18/2008,19:31:13,-20.963,-179.149,Earthquake,639.5,,252.0,5.5,MWC,,,34.5,,,0.95,USP000FWZ3,US,US,GCMT,Reviewed,{},,,"-20.963,-179.149",2008
23,1/20/2008,6:08:57,-35.016999999999996,-112.01899999999999,Earthquake,10.0,,118.0,5.6,MWC,,,86.7,,,0.81,USP000FX2U,US,US,GCMT,Reviewed,{},,,"-35.017,-112.019",2008
24,1/20/2008,18:41:47,-44.92,166.98,Earthquake,22.0,,118.0,5.5,MWC,,,47.1,,,,USP000FX3Q,US,WEL,GCMT,Reviewed,{},,,"-44.92,166.98",2008
25,1/20/2008,20:26:05,2.346,126.816,Earthquake,35.0,,213.0,6.1,MWC,,,34.3,,,0.98,USP000FX3Z,US,US,US,Reviewed,{},,,"2.346,126.816",2008
26,1/21/2008,12:24:27,-34.863,-111.851,Earthquake,10.0,,241.0,5.8,MWC,,,30.1,,,1.02,USP000FX5N,US,US,GCMT,Reviewed,{},,,"-34.863,-111.851",2008
27,1/22/2008,7:55:49,-15.277000000000001,-175.34799999999998,Earthquake,6.0,,219.0,6.0,MWC,,,44.9,,,1.31,USP000FX72,US,US,US,Reviewed,{},,,"-15.277,-175.348",2008
28,1/22/2008,10:49:22,-15.419,-175.58900000000003,Earthquake,10.0,,184.0,6.1,MWC,,,44.1,,,1.36,USP000FX79,US,US,US,Reviewed,{},,,"-15.419,-175.589",2008
29,1/22/2008,17:14:58,1.011,97.44200000000001,Earthquake,20.0,,157.0,6.2,MWB,,,38.0,,,1.07,USP000FX81,US,US,US,Reviewed,"{'address_components': [{'long_name': 'Unnamed Road', 'short_name': 'Unnamed Road', 'types': ['route']}, {'long_name': 'Hilidaura', 'short_name': 'Hilidaura', 'types': ['administrative_area_level_4', 'political']}, {'long_name': 'Mandrehe Barat', 'short_name': 'Mandrehe Bar.', 'types': ['administrative_area_level_3', 'political']}, {'long_name': 'Kabupaten Nias Barat', 'short_name': 'Kabupaten Nias Barat', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Sumatera Utara', 'short_name': 'Sumatera Utara', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Indonesia', 'short_name': 'ID', 'types': ['country', 'political']}, {'long_name': '22812', 'short_name': '22812', 'types': ['postal_code']}], 'formatted_address': 'Unnamed Road, Hilidaura, Mandrehe Bar., Kabupaten Nias Barat, Sumatera Utara 22812, Indonesia', 'geometry': {'bounds': {'northeast': {'lat': 1.013522, 'lng': 97.4406953}, 'southwest': {'lat': 1.0088622, 'lng': 97.43958200000002}}, 'location': {'lat': 1.0111921, 'lng': 97.44013869999999}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 1.013522, 'lng': 97.44148763029152}, 'southwest': {'lat': 1.0088622, 'lng': 97.43878966970851}}}, 'place_id': 'ChIJA8zZjyoTJjAR7LFrqa9UMvo', 'types': ['route']}",Kabupaten Nias Barat,Indonesia,"1.011,97.442",2008
30,1/22/2008,18:43:33,32.349000000000004,85.262,Earthquake,5.4,13.4,312.0,5.5,MWC,,,39.4,,,1.13,USP000FX8B,US,US,GCMT,Reviewed,"{'address_components': [{'long_name': 'Unnamed Road', 'short_name': 'Unnamed Road', 'types': ['route']}, {'long_name': 'Nima Xian', 'short_name': 'Nima Xian', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Naqu Diqu', 'short_name': 'Naqu Diqu', 'types': ['locality', 'political']}, {'long_name': 'Xizang Zizhiqu', 'short_name': 'Xizang Zizhiqu', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'China', 'short_name': 'CN', 'types': ['country', 'political']}], 'formatted_address': 'Unnamed Road, Nima Xian, Naqu Diqu, Xizang Zizhiqu, China', 'geometry': {'bounds': {'northeast': {'lat': 32.5727417, 'lng': 85.18556910000001}, 'southwest': {'lat': 32.1933238, 'lng': 84.9925334}}, 'location': {'lat': 32.3476564, 'lng': 85.1840928}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 32.5727417, 'lng': 85.18556910000001}, 'southwest': {'lat': 32.1933238, 'lng': 84.9925334}}}, 'place_id': 'ChIJxS36WsbRyTkR9tngYg8gnSA', 'types': ['route']}",Naqu Diqu,China,"32.349,85.262",2008
31,1/23/2008,5:49:32,14.277999999999999,-94.037,Earthquake,13.0,,259.0,5.5,MWC,,,41.0,,,,USP000FX94,US,UNM,GCMT,Reviewed,{},,,"14.278,-94.037",2008
32,1/24/2008,4:12:14,6.943,-82.383,Earthquake,10.0,,231.0,5.9,MWC,,,52.9,,,1.1,USP000FXB5,US,US,GCMT,Reviewed,{},,,"6.943,-82.383",2008
